연료원,발전기명,설비용량,시작일,시작시간,종료일,종료시간,bus_id
LNG,GS당진GT#1,161.0,2022-02-08,10:00,2022-02-08,18:00,
LNG,GS당진GT#1,161.0,2022-02-09,9:00,2022-02-09,18:00,
LNG,GS당진GT#1,161.0,2022-02-10,9:00,2022-02-10,10:00,
LNG,GS당진GT#1,161.0,2022-02-24,0:00,2022-02-28,23:59,
LNG,GS당진GT#1,161.0,2022-03-01,0:00,2022-05-31,23:59,
LNG,GS당진GT#1,161.0,2022-06-20,0:00,2022-06-24,23:59,
LNG,GS당진GT#1,161.0,2022-10-13,0:00,2022-10-14,23:59,
LNG,GS당진GT#2,161.0,2022-02-08,10:00,2022-02-08,18:00,
LNG,GS당진GT#2,161.0,2022-02-09,9:00,2022-02-09,18:00,
LNG,GS당진GT#2,161.0,2022-02-10,10:00,2022-02-10,11:00,
LNG,GS당진GT#2,161.0,2022-02-24,0:00,2022-02-28,23:59,
LNG,GS당진GT#2,161.0,2022-03-01,0:00,2022-05-31,23:59,
LNG,GS당진GT#2,161.0,2022-06-20,0:00,2022-06-24,23:59,
LNG,GS당진GT#2,161.0,2022-10-13,0:00,2022-10-14,23:59,
LNG,GS당진GT#3,174.5,2022-04-16,0:00,2022-04-17,23:59,
LNG,GS당진GT#3,174.5,2022-05-20,0:00,2022-05-28,23:59,
LNG,GS당진GT#3,174.5,2022-10-29,0:00,2022-10-31,23:59,
LNG,GS당진GT#4,174.5,2022-04-16,0:00,2022-04-17,23:59,
LNG,GS당진GT#4,174.5,2022-05-20,0:00,2022-05-28,23:59,
LNG,GS당진GT#4,174.5,2022-10-29,0:00,2022-10-31,23:59,
LNG,GS당진GT#5,243.0,2022-09-24,0:00,2022-09-25,23:59,
LNG,GS당진GT#6,269.8,2022-02-26,0:00,2022-02-27,23:59,
LNG,GS당진GT#6,269.8,2022-05-01,0:00,2022-05-25,23:59,
LNG,GS당진GT#6,269.8,2022-11-07,0:00,2022-11-10,23:59,
LNG,GS당진GT#6,269.8,2022-12-03,8:00,2022-12-03,14:00,
LNG,GS당진GT#7,269.8,2022-02-26,0:00,2022-02-27,23:59,
LNG,GS당진GT#7,269.8,2022-05-05,0:00,2022-05-13,23:59,
LNG,GS당진GT#7,269.8,2022-11-07,0:00,2022-12-05,23:59,
LNG,GS당진ST#1,178.8,2022-02-08,10:00,2022-02-08,18:00,
LNG,GS당진ST#1,178.8,2022-02-09,9:00,2022-02-09,18:00,
LNG,GS당진ST#1,178.8,2022-02-10,9:00,2022-02-10,10:00,
