회원사,연료원,발전기명,설비용량,시작일,시작시간,종료일,종료시간,광역지역,세부지역
GS EPS(주),LNG,GS당진GT#1,161.0,2023-05-22,0:00,2023-05-27,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#1,161.0,2023-06-24,6:00,2023-06-25,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#1,161.0,2023-09-18,0:00,2023-11-26,23:59,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#2,161.0,2023-01-28,0:00,2023-01-28,22:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#2,161.0,2023-05-22,0:00,2023-05-27,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#2,161.0,2023-06-24,6:00,2023-06-25,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#2,161.0,2023-09-18,0:00,2023-11-26,23:59,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#3,174.5,2023-03-19,0:00,2023-03-21,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#3,174.5,2023-03-21,10:00,2023-03-21,18:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#3,174.5,2023-03-22,9:00,2023-03-22,18:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#3,174.5,2023-03-23,10:00,2023-03-23,13:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#3,174.5,2023-06-21,0:00,2023-06-26,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#3,174.5,2023-11-18,0:00,2023-11-19,23:59,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#4,174.5,2023-03-19,0:00,2023-03-21,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#4,174.5,2023-03-21,10:00,2023-03-21,18:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#4,174.5,2023-03-22,9:00,2023-03-22,18:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#4,174.5,2023-03-23,10:00,2023-03-23,13:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#4,174.5,2023-06-21,0:00,2023-06-26,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#4,174.5,2023-11-18,0:00,2023-11-19,23:59,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#5,243.0,2023-03-02,0:00,2023-03-18,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#5,243.0,2023-06-24,6:00,2023-06-25,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#5,243.0,2023-10-01,0:00,2023-11-09,23:59,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#5,243.0,2023-11-14,0:00,2023-11-14,23:59,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#5,243.0,2023-11-20,16:00,2023-11-20,18:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#5,243.0,2023-11-21,22:00,2023-11-21,23:59,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#6,269.8,2023-04-02,0:00,2023-04-04,18:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#6,269.8,2023-04-05,9:00,2023-04-05,18:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#6,269.8,2023-07-08,0:00,2023-07-10,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#6,269.8,2023-10-23,0:00,2023-10-26,18:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#7,269.8,2023-03-13,0:00,2023-04-07,23:59,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#7,269.8,2023-07-08,0:00,2023-07-10,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진GT#7,269.8,2023-10-23,0:00,2023-10-26,18:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진ST#1,178.8,2023-05-22,0:00,2023-05-27,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진ST#1,178.8,2023-06-24,6:00,2023-06-25,0:00,충남,충청남도 당진군
GS EPS(주),LNG,GS당진ST#1,178.8,2023-09-18,0:00,2023-11-26,23:59,충남,충청남도 당진군
