id,off_start_day,off_start_time,off_end_day,off_end_time
1,49,7,50,24
1,49,7,50,24
1,49,7,50,24
1,63,6,63,19
1,63,6,63,19
1,63,6,63,19
1,67,1,122,24
1,67,1,122,24
1,67,1,122,24
1,146,1,147,8
1,183,7,183,16
1,183,7,183,15
1,184,7,184,16
1,184,7,184,15
1,209,1,209,23
1,209,1,209,23
1,209,1,209,23
1,223,1,223,6
1,223,1,223,6
1,223,1,223,6
1,258,1,260,15
1,258,1,260,15
1,258,1,260,15
1,307,1,309,24
1,307,1,309,24
1,335,5,336,12
1,335,5,336,12
1,335,5,336,12
2,48,7,48,21
2,55,7,55,18
2,84,9,84,22
2,91,9,91,21
2,91,9,91,21
2,91,9,91,21
2,138,8,154,24
2,138,8,156,24
2,138,8,154,24
2,155,7,155,21
2,155,7,155,21
2,314,8,314,20
3,61,9,63,20
3,61,9,63,20
3,61,9,63,20
3,69,9,70,20
3,77,9,77,23
3,111,9,112,21
3,111,9,112,21
3,111,9,112,21
3,118,9,119,21
3,118,9,119,21
3,118,9,119,21
3,126,9,128,21
3,126,9,128,21
3,126,9,128,21
3,139,9,141,24
3,139,9,141,24
3,139,9,141,24
3,146,9,148,24
3,146,9,148,24
3,146,9,148,24
3,153,9,155,24
3,153,9,155,24
3,153,9,155,24
3,167,9,169,24
3,167,9,169,24
3,167,9,169,24
3,174,9,176,24
3,174,9,176,24
3,174,9,176,24
3,181,9,183,24
3,181,9,183,24
3,181,9,183,24
3,251,9,252,22
3,251,9,252,22
3,251,9,252,22
3,258,9,259,22
3,258,9,259,22
3,258,9,259,22
3,274,8,308,24
3,274,8,310,24
3,274,8,308,24
3,315,8,315,20
3,315,8,315,20
3,315,8,315,20
4,27,1,28,24
4,61,1,62,6
4,74,1,78,24
4,83,8,83,20
4,97,1,99,1
4,230,5,232,1
4,258,1,263,1
4,258,1,263,1
4,258,1,263,1
4,286,6,287,12
4,286,6,287,12
4,314,1,315,12
4,342,1,343,24
4,342,1,343,24
4,342,1,343,24
4,356,1,357,24
4,356,1,358,24
4,356,1,357,24
5,69,1,71,1
5,69,1,71,1
5,69,1,71,1
5,111,1,112,12
5,111,1,112,12
5,111,1,112,12
5,181,1,182,6
5,181,1,182,6
5,181,1,182,6
5,258,1,260,1
5,258,1,260,1
5,258,1,260,1
5,275,1,330,24
5,275,1,314,24
5,275,1,314,24
5,321,4,323,24
7,41,1,42,24
7,41,1,42,24
7,41,1,42,24
7,105,5,105,17
7,105,5,105,17
7,105,5,105,17
7,111,1,158,24
7,115,1,154,24
7,115,1,154,24
7,161,1,162,24
7,161,1,162,24
7,161,1,162,24
7,244,1,246,24
7,244,1,246,24
7,244,1,246,24
7,258,1,263,24
7,258,1,263,24
7,258,1,263,24
7,314,1,316,24
7,314,1,316,24
7,314,1,316,24
7,343,1,343,6
8,40,1,41,24
8,40,1,41,24
8,40,1,41,24
8,124,1,128,24
8,125,1,129,24
8,125,1,128,24
8,258,9,258,15
8,328,1,330,24
8,328,1,330,24
8,328,1,330,24
10,6,1,8,24
10,48,9,49,24
10,68,9,69,24
10,76,7,76,10
10,115,1,173,24
10,115,1,173,24
10,115,1,173,24
10,174,1,177,24
10,174,1,177,24
10,174,1,177,24
10,209,1,212,24
10,209,1,212,24
10,209,1,212,24
10,244,1,246,24
10,261,1,262,24
10,261,1,262,24
10,261,1,262,24
10,272,1,275,24
10,293,1,295,24
10,299,1,302,24
11,66,1,68,13
11,71,9,75,17
11,94,1,118,24
11,141,1,146,24
11,150,1,174,24
11,246,1,251,24
11,289,1,293,24
11,297,1,328,24
12,1,1,3,24
12,1,1,3,24
12,6,1,8,24
12,6,1,8,24
12,27,1,30,24
12,27,1,30,24
12,83,1,93,24
12,83,1,93,24
12,97,1,114,24
12,97,1,114,24
12,125,1,127,24
12,125,1,127,24
12,174,1,179,24
12,174,1,179,24
12,180,1,185,24
12,180,1,185,24
12,251,1,253,24
12,251,1,253,24
12,265,1,267,24
12,265,1,267,24
12,283,1,331,24
12,283,1,331,24
12,300,1,302,24
12,300,1,302,24
12,331,1,337,24
12,331,1,337,24
12,342,1,344,24
12,342,1,344,24
13,1,1,4,24
13,1,1,4,24
13,83,1,85,24
13,83,1,85,24
13,103,1,106,24
13,103,1,106,24
13,125,1,128,24
13,125,1,128,24
13,181,1,183,24
13,181,1,183,24
13,259,1,261,24
13,259,1,261,24
13,275,1,290,24
13,275,1,290,24
13,307,1,315,24
13,307,1,315,24
14,78,1,83,24
14,78,1,83,24
14,85,1,173,24
14,85,1,173,24
14,157,1,161,24
14,157,1,161,24
14,243,1,246,24
14,243,1,246,24
14,315,1,318,24
14,315,1,318,24
14,319,1,323,24
14,319,1,323,24
15,44,1,83,24
15,44,1,83,24
15,154,1,159,24
15,154,1,158,24
15,154,1,159,24
15,154,1,158,24
15,315,1,319,24
15,315,1,319,24
15,319,1,323,24
15,319,1,323,24
16,64,1,124,24
16,64,1,124,24
16,120,1,184,24
16,120,1,184,24
16,328,1,332,24
16,328,1,332,24
16,328,1,332,24
16,328,1,332,24
17,81,1,83,24
17,81,1,83,24
17,147,1,148,24
17,147,1,148,24
17,195,1,200,24
17,195,1,200,24
17,267,1,353,24
17,267,1,353,24
17,295,1,381,24
17,295,1,381,24
18,69,1,71,24
18,106,1,132,24
18,181,8,182,17
18,279,8,280,24
18,344,21,344,23
18,345,21,345,23
18,346,21,346,23
18,348,1,348,2
23,64,1,73,24
23,74,1,82,24
23,75,1,96,24
23,76,1,78,24
23,76,1,78,24
23,108,1,117,24
23,109,1,122,24
23,113,1,116,24
23,128,1,180,24
23,128,1,174,24
23,128,1,174,24
23,134,1,164,24
23,164,1,173,24
23,188,1,189,24
23,188,1,189,24
23,263,1,293,24
23,263,1,293,24
23,263,1,318,24
23,295,1,325,24
23,295,1,341,24
23,307,1,309,24
23,307,1,309,24
23,309,9,309,20
23,310,9,310,20
23,321,1,334,24
23,321,1,323,24
23,321,1,323,24
23,326,1,334,24
24,8,1,15,24
24,13,1,15,24
24,13,1,15,24
24,70,1,79,24
24,70,1,79,24
24,70,1,79,24
24,77,1,80,24
24,77,1,80,24
24,77,1,80,24
24,92,1,104,24
24,92,1,111,24
24,92,1,104,24
24,97,1,99,24
24,97,1,99,24
24,97,1,99,24
24,129,1,131,24
24,134,1,145,24
24,134,1,155,24
24,134,1,145,24
24,142,4,142,12
24,142,4,142,12
24,142,4,142,12
24,142,4,142,12
24,142,4,142,12
24,142,4,142,12
24,143,4,143,12
24,143,4,143,12
24,143,4,143,12
24,143,4,143,12
24,143,4,143,12
24,143,4,143,12
24,144,4,144,12
24,144,4,144,12
24,144,4,144,12
24,144,4,144,12
24,144,4,144,12
24,144,4,144,12
24,145,4,145,12
24,145,4,145,12
24,145,4,145,12
24,145,4,145,12
24,145,4,145,12
24,145,4,145,12
24,150,1,176,24
24,150,1,153,24
24,150,1,153,24
24,150,1,153,24
24,153,1,169,24
24,153,1,169,24
24,166,1,169,24
24,166,1,169,24
24,166,1,169,24
24,174,1,179,24
24,174,1,176,24
24,202,1,203,24
24,209,6,209,14
24,209,6,209,14
24,209,6,209,14
24,210,6,210,16
24,210,6,210,16
24,210,6,210,16
24,237,8,237,16
24,245,1,248,24
24,245,1,248,24
24,245,1,248,24
24,248,1,253,12
24,261,1,262,24
24,261,1,262,24
24,261,1,262,24
24,264,1,268,24
24,270,9,270,21
24,270,9,270,21
24,270,9,270,21
24,271,1,276,24
24,271,1,276,24
24,271,9,271,21
24,272,9,272,21
24,273,1,276,24
24,273,1,286,24
24,273,1,286,24
24,273,1,286,24
24,280,1,283,24
24,280,1,283,24
24,280,1,283,24
24,286,1,287,24
24,287,1,289,24
24,297,1,302,24
24,309,1,318,24
24,309,1,318,24
24,309,1,318,24
24,322,1,325,24
24,322,1,325,24
24,325,1,328,24
24,329,1,332,24
24,329,1,332,24
24,329,1,332,24
24,341,1,347,24
24,341,1,347,24
24,341,1,347,24
24,347,1,352,24
24,347,1,349,24
24,347,1,349,24
24,347,1,349,24
25,20,1,23,24
25,32,1,36,24
25,34,9,34,15
25,40,1,50,24
25,40,1,50,24
25,40,1,50,24
25,48,1,50,24
25,61,1,64,24
25,61,1,64,24
25,61,1,64,24
25,62,1,83,24
25,62,1,83,24
25,62,1,83,24
25,69,1,71,24
25,69,1,71,24
25,69,1,71,24
25,70,1,76,24
25,70,1,76,24
25,70,1,76,24
25,76,1,78,24
25,76,1,78,24
25,76,1,78,24
25,83,1,89,16
25,84,1,87,24
25,84,1,87,24
25,84,1,87,24
25,85,1,89,16
25,85,1,89,16
25,90,1,92,24
25,90,1,92,24
25,90,1,92,24
25,97,1,99,24
25,97,1,99,24
25,97,1,100,24
25,97,1,100,24
25,97,1,99,24
25,97,1,100,24
25,104,1,116,24
25,104,1,190,24
25,104,1,116,24
25,123,1,139,24
25,123,1,139,24
25,123,1,139,24
25,125,1,127,24
25,125,1,127,24
25,130,1,138,24
25,139,1,148,24
25,139,1,148,24
25,139,1,148,24
25,142,1,151,24
25,142,1,151,24
25,142,1,151,24
25,144,4,144,12
25,145,4,145,12
25,153,1,158,24
25,153,1,158,24
25,168,1,171,24
25,168,1,171,24
25,168,1,171,24
25,173,1,175,24
25,173,1,175,24
25,180,1,183,24
25,180,1,183,24
25,180,1,183,24
25,193,1,197,24
25,193,1,197,24
25,193,1,197,24
25,209,1,218,12
25,210,1,213,24
25,223,1,224,24
25,237,1,239,24
25,237,1,239,24
25,237,1,239,24
25,244,1,246,24
25,251,1,253,24
25,251,1,253,24
25,251,1,253,24
25,260,1,261,24
25,263,1,294,24
25,263,1,294,24
25,263,1,294,24
25,269,1,276,24
25,269,1,272,24
25,269,1,272,24
25,269,1,272,24
25,271,1,276,24
25,271,1,276,24
25,283,1,286,24
25,283,1,287,24
25,283,1,286,24
25,283,1,326,24
25,288,1,300,24
25,288,1,326,24
25,288,1,326,24
25,294,1,301,24
25,300,1,304,24
25,301,1,303,24
25,315,1,318,24
25,315,1,318,24
25,315,1,318,24
25,315,1,318,24
25,315,1,318,24
25,315,1,328,24
25,322,1,325,24
25,322,1,325,24
25,322,1,325,24
25,324,1,329,24
25,330,1,335,24
25,353,1,360,24
25,353,1,360,24
25,353,1,360,24
26,61,1,69,24
26,61,1,69,24
26,69,1,79,24
26,69,1,79,24
26,93,12,96,24
26,93,12,96,24
26,195,8,195,16
26,195,8,195,16
26,272,1,304,24
26,272,1,304,24
26,300,1,302,16
26,300,1,302,16
33,104,1,105,20
33,181,23,182,8
33,181,23,182,8
33,181,23,182,8
33,258,1,302,11
33,258,1,302,11
33,258,1,302,11
33,306,1,311,24
33,306,1,311,24
33,306,1,311,24
33,350,17,351,24
34,6,13,7,18
34,13,1,14,17
34,20,1,20,19
34,27,1,28,19
34,34,1,34,19
34,48,1,49,17
34,48,1,49,19
34,69,1,70,19
34,76,1,77,19
34,83,1,84,19
34,90,1,123,9
34,118,1,123,24
34,118,1,123,24
34,118,1,123,24
34,124,1,126,24
34,126,2,128,2
34,146,1,148,24
34,160,1,162,24
34,167,1,169,24
34,174,1,176,24
34,181,1,183,24
34,188,1,190,24
34,202,1,204,24
34,216,1,217,12
34,223,1,225,24
34,223,1,225,12
34,230,1,232,24
34,237,1,239,24
34,244,1,246,24
34,251,1,253,24
34,264,1,268,18
34,264,1,268,18
34,264,1,268,18
34,264,1,268,18
34,284,1,288,24
34,288,1,291,24
34,295,1,299,24
34,314,1,316,24
34,328,1,330,24
34,342,7,342,18
34,349,1,349,18
35,139,1,141,24
35,139,1,141,24
35,188,1,189,6
35,188,1,189,6
35,279,1,304,24
35,279,1,304,24
36,2,1,9,9
36,15,1,17,16
36,15,1,20,24
36,31,1,31,18
36,71,1,96,24
36,155,1,169,24
36,202,1,204,24
36,228,1,232,24
36,258,1,261,24
36,267,1,279,24
36,277,1,281,24
36,323,1,330,24
36,323,1,330,24
36,330,1,337,24
36,330,1,337,24
39,36,1,139,24
39,36,1,139,24
39,36,1,139,24
39,196,1,197,24
39,196,1,197,24
39,196,1,197,24
39,251,1,253,12
39,251,1,253,12
39,251,1,253,12
39,334,1,336,24
39,334,1,336,24
39,334,1,336,24
41,49,9,50,24
41,148,1,184,24
41,148,1,191,24
41,148,1,184,24
41,301,1,305,24
41,301,1,305,24
41,301,1,305,24
48,32,1,91,24
48,36,13,38,7
48,36,13,38,7
48,36,13,38,7
48,92,1,192,24
48,266,1,299,24
48,287,18,293,24
48,288,1,293,24
48,288,1,293,24
49,61,1,62,15
49,62,1,63,15
49,62,1,62,15
49,160,1,200,24
49,167,1,205,24
49,167,1,200,24
49,172,8,172,20
49,172,8,172,20
49,173,8,173,20
49,173,8,173,20
49,174,8,174,20
49,174,8,174,20
49,175,8,175,20
49,175,8,175,20
49,238,9,238,13
49,238,9,238,13
49,298,1,300,24
49,298,1,300,24
49,298,1,300,24
49,303,1,306,24
49,303,1,306,24
58,64,10,64,22
58,86,1,90,24
58,86,1,90,24
58,86,1,90,24
58,131,1,176,24
58,131,1,176,24
58,131,1,176,24
58,247,1,251,24
58,247,1,251,24
