연료원,발전기명,설비용량,시작일,시작시간,종료일,종료시간,광역지역,세부지역
LNG,GS당진GT#1,161.0,2025-02-16,18:00,2025-02-21,23:59,충남,충청남도 당진군
LNG,GS당진GT#1,161.0,2025-10-19,18:00,2025-10-25,0:00,충남,충청남도 당진군
LNG,GS당진GT#1,161.0,2025-10-27,10:00,2025-10-27,19:00,충남,충청남도 당진군
LNG,GS당진GT#1,161.0,2025-10-28,8:00,2025-10-28,19:00,충남,충청남도 당진군
LNG,GS당진GT#1,161.0,2025-10-29,11:00,2025-10-29,15:00,충남,충청남도 당진군
LNG,GS당진GT#2,161.0,2025-02-17,0:00,2025-02-21,23:59,충남,충청남도 당진군
LNG,GS당진GT#2,161.0,2025-10-20,0:00,2025-10-25,0:00,충남,충청남도 당진군
LNG,GS당진GT#2,161.0,2025-10-27,10:00,2025-10-27,19:00,충남,충청남도 당진군
LNG,GS당진GT#2,161.0,2025-10-28,8:00,2025-10-28,19:00,충남,충청남도 당진군
LNG,GS당진GT#2,161.0,2025-10-29,11:00,2025-10-29,15:00,충남,충청남도 당진군
LNG,GS당진GT#3,174.5,2025-03-02,0:00,2025-03-07,0:00,충남,충청남도 당진군
LNG,GS당진GT#3,174.5,2025-03-09,0:00,2025-03-11,0:00,충남,충청남도 당진군
LNG,GS당진GT#3,174.5,2025-03-11,10:00,2025-03-11,18:00,충남,충청남도 당진군
LNG,GS당진GT#3,174.5,2025-03-12,9:00,2025-03-12,18:00,충남,충청남도 당진군
LNG,GS당진GT#3,174.5,2025-03-13,10:00,2025-03-13,13:00,충남,충청남도 당진군
LNG,GS당진GT#3,174.5,2025-10-03,0:00,2025-12-08,23:59,충남,충청남도 당진군
LNG,GS당진GT#4,174.5,2025-03-02,0:00,2025-03-07,0:00,충남,충청남도 당진군
LNG,GS당진GT#4,174.5,2025-03-09,0:00,2025-03-11,0:00,충남,충청남도 당진군
LNG,GS당진GT#4,174.5,2025-03-11,10:00,2025-03-11,18:00,충남,충청남도 당진군
LNG,GS당진GT#4,174.5,2025-03-12,9:00,2025-03-12,18:00,충남,충청남도 당진군
LNG,GS당진GT#4,174.5,2025-03-13,10:00,2025-03-13,13:00,충남,충청남도 당진군
LNG,GS당진GT#4,174.5,2025-10-03,0:00,2025-12-08,23:59,충남,충청남도 당진군
LNG,GS당진GT#5,243.0,2025-03-16,0:00,2025-03-22,0:00,충남,충청남도 당진군
LNG,GS당진GT#5,243.0,2025-10-14,0:00,2025-10-16,23:59,충남,충청남도 당진군
LNG,GS당진GT#6,269.8,2025-04-05,0:00,2025-04-10,23:59,충남,충청남도 당진군
LNG,GS당진GT#6,269.8,2025-12-13,0:00,2025-12-15,18:00,충남,충청남도 당진군
